,line_id,name,shortName,mode,networkId,impactedObjects,file_lastUpdatedDate
55,line:IDFM:C02160,32S,32S,Bus,network:IDFM:1056,"[{'disruptionIds': ['8bb5429e-ad76-11ef-a448-0a58a9feac02', 'e8e214de-acd5-11ef-a448-0a58a9feac02'], 'id': 'line:IDFM:C02160', 'name': '32S', 'type': 'line'}]",2024-12-06T13:50:22.638Z
56,line:IDFM:C00923,33,33,Bus,network:IDFM:1056,"[{'disruptionIds': ['8bb5429e-ad76-11ef-a448-0a58a9feac02', 'e8e214de-acd5-11ef-a448-0a58a9feac02'], 'id': 'line:IDFM:C00923', 'name': '33', 'type': 'line'}]",2024-12-06T13:50:22.638Z
57,line:IDFM:C00924,34,34,Bus,network:IDFM:1056,"[{'disruptionIds': ['e8e214de-acd5-11ef-a448-0a58a9feac02'], 'id': 'line:IDFM:C00924', 'name': '34', 'type': 'line'}]",2024-12-06T13:50:22.638Z
58,line:IDFM:C00926,35,35,Bus,network:IDFM:1056,"[{'disruptionIds': ['e8e214de-acd5-11ef-a448-0a58a9feac02'], 'id': 'line:IDFM:C00926', 'name': '35', 'type': 'line'}]",2024-12-06T13:50:22.638Z
59,line:IDFM:C01057,38,38,Bus,network:IDFM:1056,"[{'disruptionIds': ['b4d03774-b2df-11ef-ab9b-0a58a9feac02'], 'id': 'line:IDFM:C01057', 'name': '38', 'type': 'line'}]",2024-12-06T13:50:22.638Z
60,line:IDFM:C01059,40,40,Bus,network:IDFM:1056,"[{'disruptionIds': ['e8e214de-acd5-11ef-a448-0a58a9feac02'], 'id': 'line:IDFM:C01059', 'name': '40', 'type': 'line'}]",2024-12-06T13:50:22.638Z
61,line:IDFM:C01060,41A,41A,Bus,network:IDFM:1056,"[{'disruptionIds': ['e8e214de-acd5-11ef-a448-0a58a9feac02'], 'id': 'line:IDFM:C01060', 'name': '41A', 'type': 'line'}]",2024-12-06T13:50:22.638Z
62,line:IDFM:C02154,41B,41B,Bus,network:IDFM:1056,"[{'disruptionIds': ['e8e214de-acd5-11ef-a448-0a58a9feac02'], 'id': 'line:IDFM:C02154', 'name': '41B', 'type': 'line'}]",2024-12-06T13:50:22.638Z
63,line:IDFM:C01993,48,48,Bus,network:IDFM:1056,"[{'disruptionIds': ['c2b2fa3e-58c6-11ef-8879-0a58a9feac02'], 'id': 'line:IDFM:C01993', 'name': '48', 'type': 'line'}]",2024-12-06T13:50:22.638Z
64,line:IDFM:C00934,49,49,Bus,network:IDFM:1056,"[{'disruptionIds': ['e8e214de-acd5-11ef-a448-0a58a9feac02'], 'id': 'line:IDFM:C00934', 'name': '49', 'type': 'line'}]",2024-12-06T13:50:22.638Z
65,line:IDFM:C00941,56,56,Bus,network:IDFM:1056,"[{'disruptionIds': ['67565b88-b247-11ef-ab9b-0a58a9feac02', 'e8e214de-acd5-11ef-a448-0a58a9feac02'], 'id': 'line:IDFM:C00941', 'name': '56', 'type': 'line'}]",2024-12-06T13:50:22.638Z
66,line:IDFM:C00942,56S,56S,Bus,network:IDFM:1056,"[{'disruptionIds': ['1b77da0a-655a-11ef-ae41-0a58a9feac02', 'e8e214de-acd5-11ef-a448-0a58a9feac02'], 'id': 'line:IDFM:C00942', 'name': '56S', 'type': 'line'}]",2024-12-06T13:50:22.638Z
